Codigo_Dane_Institucion_Inicial,2019,2020,2021,2022,2023,2024,Codigo_Dane_Institucion_Final,Id,Año_Vigencia,Id_Codigo_Dane_Institucion,Id_Codigo_Dane_Sede,Id_consecutivosede,Nombre_Establecimiento,Nombre_Sede_SIMAT,Comuna,Nucleo,Estrato,Id_genero,Poblacion_Victima,Id_Discapacidad,Id_Capacidades,Id_Etnias,Id_Jornada,Id_Caracter,Id_especialidad,Id_grado,Grupo,Id_nivel,Id_metodologia,Repitente,Nuevo,Id_fuenterecursos,Id_zona,Id_apoyoacademico,Id_srpa,Id_paisorigen,Id_trastornosespecificios
1.66001E+11,6,7,8,9,10,11,1.66001E+11,25197828,2019,1.66001E+11,1.66001E+11,1.66001E+13,I.E JAIME SALAZAR ROBLEDO ,I.E JAIME SALAZAR ROBLEDO ,31,7,2,2,9,99,9,0,1,0,0,6,603,6,1,N,N,1,1,1,1,0,0
1.66001E+11,6,9,999,999,999,999,999,25668965,2019,1.66001E+11,1.66001E+11,1.66001E+13,I.E CARLOTA SANCHEZ,I.E CARLOTA SANCHEZ,26,4,1,2,9,19,9,0,2,0,0,6,CMR1,6,29,N,S,1,1,1,1,0,0
1.66001E+11,6,999,999,999,999,999,999,25673869,2019,1.66001E+11,1.66001E+11,1.66001E+13,I.E RAFAEL URIBE URIBE,I.E RAFAEL URIBE URIBE,6,4,2,2,9,99,9,0,3,0,0,6,C,6,1,N,S,1,1,4,3,0,0
1.66001E+11,6,999,999,999,24,24,2.66001E+11,26390590,2019,1.66001E+11,1.66001E+11,1.66001E+13,I.E DEOGRACIAS CARDONA,I.E DEOGRACIAS CARDONA,4,3,2,2,9,99,9,0,3,0,0,6,602,6,29,N,S,1,1,0,0,0,0
1.66001E+11,6,999,999,999,999,999,999,26390677,2019,1.66001E+11,1.66001E+11,1.66001E+13,I.E FRANCISCO DE PAULA SANTANDER,I.E FRANCISCO DE PAULA SANTANDER,32,7,2,2,9,99,9,0,6,0,0,6,6CM1,6,1,N,S,1,1,1,1,0,0
1.66001E+11,6,999,999,999,999,999,999,28158203,2019,1.66001E+11,1.66001E+11,1.66001E+13,I.E RAFAEL URIBE URIBE,I.E RAFAEL URIBE URIBE,6,4,2,2,9,99,9,0,3,0,0,6,C,6,1,N,S,1,1,4,3,0,0
1.66001E+11,6,7,9,25,999,999,999,28401050,2019,1.66001E+11,1.66001E+11,1.66001E+13,I.E ALFREDO GARCIA,I.E ALFREDO GARCIA,26,4,2,1,9,10,9,0,6,0,0,6,602,6,1,S,S,1,1,1,1,0,0
1.66001E+11,6,23,23,23,23,999,999,32306741,2019,1.66001E+11,1.66001E+11,1.66001E+13,I.E LENINGRADO,I.E LENINGRADO,27,2,2,2,9,8,9,0,3,0,0,6,603,6,1,N,S,1,1,1,1,0,0
1.66001E+11,6,8,9,25,25,26,1.66001E+11,32306981,2019,1.66001E+11,1.66001E+11,1.66001E+13,I.E DEOGRACIAS CARDONA,I.E DEOGRACIAS CARDONA,4,3,3,2,9,3,9,0,3,0,0,6,603,6,29,N,N,1,1,1,1,0,0
1.66001E+11,6,7,24,26,999,999,999,32321525,2019,1.66001E+11,1.66001E+11,1.66001E+13,I.E GIMNASIO RISARALDA,I.E GIMNASIO RISARALDA,26,4,1,2,9,8,9,0,3,0,0,6,6A,6,1,N,N,1,1,1,1,0,0
1.66001E+11,6,9,10,999,999,999,999,32325537,2019,1.66001E+11,1.66001E+11,1.66001E+13,I.E KENNEDY,I.E KENNEDY,21,7,2,2,9,99,9,0,3,0,0,6,6G,6,1,N,S,1,1,0,0,0,0
1.66001E+11,6,23,999,999,999,999,999,32326192,2019,1.66001E+11,1.66001E+11,1.66001E+13,I.E RAFAEL URIBE URIBE,I.E RAFAEL URIBE URIBE,6,4,2,2,9,99,9,0,3,0,0,6,D,6,1,N,S,1,1,4,3,0,0
1.66001E+11,6,23,24,999,24,999,999,32327752,2019,1.66001E+11,1.66001E+11,1.66001E+13,I.E SUR ORIENTAL,I.E SUR ORIENTAL,4,3,4,1,9,99,9,0,6,0,0,6,D,6,29,N,S,1,1,1,1,0,0
1.66001E+11,6,8,10,11,999,999,999,32355397,2019,1.66001E+11,1.66001E+11,1.66001E+13,I.E DEOGRACIAS CARDONA,I.E DEOGRACIAS CARDONA,4,3,1,2,9,99,9,0,3,0,0,6,601,6,29,N,N,1,1,0,0,0,0
1.66001E+11,6,23,24,26,999,999,999,32372910,2019,1.66001E+11,1.66001E+11,1.66001E+13,I.E DEOGRACIAS CARDONA,I.E DEOGRACIAS CARDONA,4,3,2,2,9,18,9,0,3,0,0,6,602,6,29,N,S,1,1,1,1,0,0
1.66001E+11,6,8,9,999,999,999,999,32385836,2019,1.66001E+11,1.66001E+11,1.66001E+13,I.E DEOGRACIAS CARDONA,I.E DEOGRACIAS CARDONA,4,3,2,2,9,99,9,0,3,0,0,6,602,6,29,N,S,1,1,1,1,0,0
1.66001E+11,6,23,24,999,999,999,999,32393964,2019,1.66001E+11,1.66001E+11,1.66001E+13,I.E MANOS UNIDAS,I.E MANOS UNIDAS,31,7,1,2,9,99,9,97,3,0,0,6,603,6,29,N,S,1,1,0,0,0,0
1.66001E+11,6,23,999,999,999,999,999,32497729,2019,1.66001E+11,1.66001E+11,1.66001E+13,I.E MANOS UNIDAS,I.E MANOS UNIDAS,31,7,1,2,9,99,9,0,3,0,0,6,604,6,29,N,S,1,1,1,1,0,0
1.66001E+11,6,23,24,26,999,999,999,32504064,2019,1.66001E+11,1.66001E+11,1.66001E+13,I.E DEOGRACIAS CARDONA,I.E DEOGRACIAS CARDONA,4,3,3,2,9,99,9,0,3,0,0,6,603,6,29,N,S,1,1,1,1,0,0
1.66001E+11,6,7,8,9,10,11,1.66001E+11,32506952,2019,1.66001E+11,1.66001E+11,1.66001E+13,I.E GIMNASIO RISARALDA,I.E GIMNASIO RISARALDA,26,4,1,2,9,8,9,0,3,0,0,6,6A,6,1,N,N,1,1,0,0,0,0
1.66001E+11,6,9,999,24,25,999,999,32506962,2019,1.66001E+11,1.66001E+11,1.66001E+13,I.E SUR ORIENTAL,I.E SUR ORIENTAL,4,3,1,1,9,99,9,0,6,0,0,6,D,6,29,S,S,1,1,1,1,0,0
1.66001E+11,6,9,999,999,999,999,999,32508231,2019,1.66001E+11,1.66001E+11,1.66001E+13,I.E CARLOTA SANCHEZ,I.E CARLOTA SANCHEZ,26,4,1,1,9,99,9,0,2,0,0,6,CMR1,6,29,N,S,1,1,1,1,0,0
1.66001E+11,6,999,999,999,999,999,999,32508982,2019,1.66001E+11,1.66001E+11,1.66001E+13,I.E RAFAEL URIBE URIBE,I.E RAFAEL URIBE URIBE,6,4,2,2,9,99,9,0,3,0,0,6,D,6,1,N,S,1,1,4,3,0,0
1.66001E+11,6,7,24,24,999,999,999,32509806,2019,1.66001E+11,1.66001E+11,1.66001E+13,I.E MATECA?A,I.E MATECA?A sede FRANCISCO PEREIRA,1,3,1,2,1,99,9,0,6,0,0,6,D,6,1,N,N,1,1,1,1,0,0
1.66001E+11,6,6,7,7,23,999,999,32510050,2019,1.66001E+11,1.66001E+11,1.66001E+13,I.E AQUILINO BEDOYA,I.E AQUILINO BEDOYA,15,3,1,1,9,99,9,0,6,0,0,6,602,6,1,N,N,1,1,0,0,0,0
1.66001E+11,6,999,999,24,999,999,999,32510054,2019,1.66001E+11,1.66001E+11,1.66001E+13,I.E MANOS UNIDAS,I.E MANOS UNIDAS sede SAN VICENTE,31,7,1,1,1,99,9,0,2,0,0,6,605,6,29,N,S,1,1,1,1,0,0
1.66001E+11,6,24,26,999,999,999,999,32511138,2019,1.66001E+11,1.66001E+11,1.66001E+13,I.E FRANCISCO DE PAULA SANTANDER,I.E FRANCISCO DE PAULA SANTANDER,32,7,1,1,9,99,9,0,6,0,0,6,6CM1,6,1,S,N,1,1,1,1,0,0
1.66001E+11,6,999,999,999,999,999,999,32512185,2019,1.66001E+11,1.66001E+11,1.66001E+13,I.E RAFAEL URIBE URIBE,I.E RAFAEL URIBE URIBE,6,4,2,1,9,99,9,0,3,0,0,6,C,6,1,N,S,1,1,4,3,0,0
1.66001E+11,6,24,24,24,26,999,999,32512897,2019,1.66001E+11,1.66001E+11,1.66001E+13,I.E MANOS UNIDAS,I.E MANOS UNIDAS sede SAN VICENTE,31,7,1,2,9,99,9,0,2,0,0,6,605,6,29,N,N,1,1,0,0,0,0
1.66001E+11,6,8,10,11,999,999,999,32516405,2019,1.66001E+11,1.66001E+11,1.66001E+13,I.E DEOGRACIAS CARDONA,I.E DEOGRACIAS CARDONA,4,3,1,2,9,99,9,0,3,0,0,6,603,6,29,N,S,1,1,0,0,0,0
1.66001E+11,6,7,8,999,999,999,999,32522845,2019,1.66001E+11,1.66001E+11,1.66001E+13,I.E GIMNASIO RISARALDA,I.E GIMNASIO RISARALDA,26,4,2,1,9,8,9,0,3,0,0,6,6A,6,1,N,N,1,1,1,1,0,0
1.66001E+11,6,8,9,999,999,999,999,32524803,2019,1.66001E+11,1.66001E+11,1.66001E+13,I.E DEOGRACIAS CARDONA,I.E DEOGRACIAS CARDONA,4,3,2,2,9,13,9,0,3,0,0,6,603,6,29,N,N,1,1,0,0,0,0
1.66001E+11,6,999,23,23,23,23,1.66001E+11,32525156,2019,1.66001E+11,1.66001E+11,1.66001E+13,I.E DEOGRACIAS CARDONA,I.E DEOGRACIAS CARDONA,4,3,1,2,9,99,9,0,3,0,0,6,603,6,29,N,S,1,1,0,0,0,0
1.66001E+11,6,8,9,24,24,999,999,32527726,2019,1.66001E+11,1.66001E+11,1.66001E+13,I.E DEOGRACIAS CARDONA,I.E DEOGRACIAS CARDONA,4,3,3,2,9,99,9,0,3,0,0,6,604,6,29,N,S,1,2,1,1,0,0
2.66001E+11,6,7,8,24,25,999,999,32531500,2019,2.66001E+11,2.66001E+11,2.66001E+13,I.E SAN FRANCISCO DE ASIS,I.E SAN FRANCISCO DE ASIS,3,1,2,2,9,99,9,0,6,0,0,6,602,6,1,N,N,1,2,1,1,0,0
1.66001E+11,6,9,999,999,999,999,999,32531623,2019,1.66001E+11,1.66001E+11,1.66001E+13,I.E SUR ORIENTAL,I.E SUR ORIENTAL,4,3,2,1,9,99,9,0,6,0,0,6,C,6,29,S,S,1,1,1,1,0,0
1.66001E+11,6,999,999,999,999,23,1.66001E+11,32533211,2019,1.66001E+11,1.66001E+11,1.66001E+13,I.E RAFAEL URIBE URIBE,I.E RAFAEL URIBE URIBE,6,4,5,2,9,99,9,0,3,0,0,6,C,6,1,N,N,1,1,4,3,0,0
1.66001E+11,6,7,23,23,999,999,999,32534294,2019,1.66001E+11,1.66001E+11,1.66001E+13,I.E SAN FERNANDO,I.E SAN FERNANDO,12,8,2,1,9,99,9,0,3,0,0,6,4,6,1,N,S,1,1,1,1,0,0
